question,correct_answer,support
Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist.",
Who was Blaise Pascal's father?,"His father, Ã‰tienne Pascal (1588â€“1651), who also had an interest in science and mathematics, was a local judge",
How old was Pascal when he lost his mother?,at the age of three,
Who was Pascal's younger sister?,Jacqueline.,
What led Pascal to his religious conversion?,Two basic influences led him to his conversion: sickness and Jansenism,
How old was Pascal when he died?,1662-08-19.,
Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,Paris,
Wasn't Blaise Pascal a work of Desargues on conic sections?,"Yes, it was",
Who died the next morning?,Pascal.,
When did his father die?,His father died in 1651.,
Do butterflies make sounds?,Some butterflies make sounds.,
Do butterflies have two eyes?,"Yes, butterflies have two eyes.",
Does a black moth mean that someone has died?,In the Philippines a black butterfly or moth mean that someone has died.,
What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.,
Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies.,
What butterfly is migratory?,The Monarch butterfly is migratory.,
Do butterflies carry more pollen than Hymenoptera?,"No, butterflies carry less pollen than Hymenoptera.",
What allows the butterfly to evade predators?,A butterfly's hind wings allow the butterfly to evade predators.,
What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size.,
Was Charles-Augustin de Coulomb a Spanish Biologist?,"No, he was a French physicist.",
Was the SI unit of charge named after Charles-Augustin de Coulomb?,"Yes, the SI unit of charge, the coulomb, was named after him.",
Was Charles-Augustin de Coulomb ever employed at La Rochelle?,"Yes, upon his return to France, with the rank of Captain, he was employed at La Rochelle.",
What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.,
Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek.,
Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction.,
When did Charles-Augustin de Coulomb join his father's family in Montpeillier?,From 1757 to 1759 he joined his father's family in Montpellier.,
Did Charles-Augustin de Coulomb come from a poor family?,"No, his mother came from a wealthy family in the wool trade.",
What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.,
Where is Collège des Quatre-Nations located?,In Paris.,
What happened in 1785?,Coulomb presented his three reports on Electricity and Magnetism,
What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.,
"Regarding this topic, what did the Revolution do?",The Revolution caused Coulomb to resign his appointment as intendent des eaux et fontains and retire.,
Who determined to pursue mathematics?,Charles-Augustin de Coulomb,
When did Coulomb return to Paris?,In 1759.,
Was Coulomb born in Angoulme France to a well-to-do family?,"Coulomb was born in AngoulÃªme, France, to a well-to-do family",
Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion.,
Are cougars larger than jaguars?,Cougars are not larger than jaguars.,
"Does the World Conservation Union consider the cougar a ""least concern"" species?","The World Conservation Union (IUCN) currently lists the cougar as a ""least concern"" species.",
What are some of the cougar's primary food sources?,"The cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.",
How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.,
How long are cougar adult males (from nose to tail)?,2.4 meters,
How long is an adult cougar's paw print?,An adult cougar's paw print is approximately 10 cm (4 inches) long.,
What are the three heaviest cats in the world?,"The three heaviest cats in the world are the tiger, lion and jaguar.",
What are the three heaviest cats in the world?,"tiger, lion, and jaguar",
"On average, are cougar males heavier than females?","On average, cougar males are heavier than females.",
What are the three cat species that are native to Canada?,"cougar, bobcat, Canadian lynx",
Does Exposure to air cause the larva to begin breathing?,Yes (capitalization).,
Is the electric eel a true eel?,"No, the electric eel is not a true eel.",
Are most eels predators?,"Yes, most eels are predators.",
Is eel blood toxic to humans?,"Yes, eel blood is toxic to humans.",
How many species of true eels are there?,There are approximately 800 species of true eels.,
Where is smoked eel considered a delicacy?,"Northern Germany, The Netherlands, Denmark, Sweden",
Where is smoked eel considered a delicacy?,"Smoked eel is considered a delicacy in northern Germany, The Netherlands, Denmark and Sweden.",
How do eels begin life?,"As flat and transparent larvae, called leptocephali",
How do eels begin life?,"Eels begin life as flat and transparent larvae, called leptocephali.",
What types of fins do eels have?,Eels have dorsal and anal fins fused with a tail fin. Some also have  pectoral fins.,
What do leptocephali eat?,Leptocephali eat small particles called marine snow.,
Do all eels live in fresh water?,"No, not all eels live in fresh water.",
What family is the panda a part of?,Ursidae (bear),
How long does it take for the panda cubs skin to turn gray?,one to two weeks after birth,
How many different names did Chinese writings give to the panda?,20,
What foods do pandas eat?,"bamboo, honeys, eggs, fish, yams, shrub leaves, oranges, and bananas",
What are the two subspecies of giant pandas?,Ailuropoda melanoleuca melanoleuca and  Ailuropoda melanoleuca qinlingensis,
What are the two subspecies of giant pandas?,"Ailuropoda melanoleuca melanoleuca and The Qinling Panda, Ailuropoda melanoleuca qinlingensis",
What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos,
Where do Giant Pandas live?,"Sichuan province, Shaanxi and Gansu provinces",
When was the Giant Panda's genome sequenced?,2009,
How many subspecies of the Giant Panda are there?,Two,
Why is the Giant Panda an endangered species?,It is threatened by continued habitat loss and by a very low birthrate,
Is the population of wild Giant  Pandas growing?,"according to some reports, yes",
Whom did he share the Nobel Prize with?,Pierre and Marie Curie,
When did he die?,1908,
What is the SI unit for radioactivity called?,the becquerel (Bq),
"When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad Röntgen,
Where are there craters named Becquerel?,on the moon and on mars,
Why did Bequerel win the Nobel Prize in Physics?,discovery of spontaneous radioactivity,
Was Isaac Newton British?,"Yes, he was English.",
Was Isaac Newton religious?,It is not clear.,
Did Isaac Newton die in 1898?,"No, Newton died in his sleep in London on 31 March 1727.",
Where was Isaac Newton born?,"He was born at Woolsthorpe Manor in Woolsthorpe-by-Colsterworth, a hamlet in the county of Lincolnshire.",
Who shares credit with Isaac Newton for developing calculus?,Newton shares the credit with Gottfried Leibniz for the development of the differential and integral calculus.,
When did Isaac Newton discover the generalized binomial theorem?,In 1665.,
Did the Occult influence Newton's theory of gravitation?,"If Newton had not relied on the occult idea of action at a distance, he might not have developed his theory of gravity.",
Were Newton's religious views consistent with Anglicanism?,"No, a conflict between Newton's religious views and Anglican orthodoxy was averted.",
Which fruit inspired Isaac Newton's theory of gravitation?,Isaac Newton's theory of gravitation was inspired by watching the fall of an apple from a tree.,
Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth,
When was the Principia published?,1687,
Where is there a Newton statue on display?,Oxford University Museum of Natural History,
Where was Isaac Newton buried?,Westminster Abbey,
What religion did Isaac Newton follow?,unorthodox Christian,
What food gave Isaac Newton clues to his theory of gravity?,apple,
Is James Watt French?,"No, he was Scottish.",
Did James Watt improve an engine?,"Yes, his improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution.",
Is there a statue of Watt in the White House?,"No, a colossal statue of Watt by Chantrey was placed in Westminster Abbey, and later was moved to St. Paul's Cathedral.",
What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.",
When did Watt retire?,Watt retired in 1800.,
Where is the James Watt Memorial College?,The James Watt Memorial  is in Greenock.,
Why is the watt named after Watt?,The watt is named after James Watt for his contributions to the development of the steam engine.,
Where did Watt attend university?,He did not attend a university.,
What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.",
What happened in the early 20th century?,The koalas of South Australia were largely exterminated.,
Did eucalypt forests grow in the place of rainforests?,"Yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests.",
Does the koala fill the same ecological role as the sloth of South America?,The koala fills the same ecological role as the sloth of South America.,
Is the long term viability of the koala therefore threatened by genetic weakness?,The long term viability of the koala is therefore threatened by genetic weakness.,
Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?,Populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands.,
"Were the koalas of South Australia largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock?","The koalas of South Australia were largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock.",
How many legs do lobsters have?,10,
Where are lobsters found?,In all oceans,
What is the mean level of mercury in American lobsters?,0.31 ppm,
Do lobsters feel pain?,yes.,
Did the Moche people worship lobsters?,yes.,
What is the caridoid escape reaction?,When lobsters swim backwards quickly by curling and uncurling their abdomen,
Did Albert Einstein keep a photograph of Faraday on his study wall?,"Yes, Albert Einstein kept a photograph of Faraday on his study wall.",
Did Faraday marry Sarah Barnard?,"Yes, Faraday married Sarah Barnard.",
Did Faraday also discover the laws of electrolysis?,"Yes, Faraday also discovered the laws of  electrolysis.",
Who discovered benzene?,Michael Faraday discovered benzene.,
Where was Michael Faraday born?,Michael Faraday was born in Newington Butts.,
Where was Michael Faraday born?,Newington Butts,
What is the Faraday effect?,The Faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving.,
Did Faraday discover diamagnetism?,"Yes, Faraday discovered diamagnetism.",
How many siblings did Faraday have?,Faraday had three siblings.,
Where is Michael Faraday buried?,Michael Faraday is buried in the dissenters' section of Highgate Cemetery.,
Where is Michael Faraday buried?,in the dissenters' section of Highgate Cemetery,
who was his mentor?,John 'Mad Jack' Fuller,
Who was Faraday's wife?,Sarah Barnard,
Did Nikola Tesla die alone?,Nikola Tesla died alone.,
Was Nikola Tesla close friends with Mark Twain?,Nikola Tesla was close friends with Mark Twain.,
Did Nikola Tesla use a technique called picture thinking?,Nikola Tesla used a technique called picture thinking.,
When did Nikola Tesla appear on the cover of Time Magazine?,"On Tesla's 75th birthday in 1931, Time magazine put him on its cover.",
When did Nikola Tesla appear on the cover of Time Magazine?,1931,
Who became adversaries with Nikola Tesla?,Nikola Tesla became adversaries with Edison.,
Where did Nikola Tesla move to in 1880?,"In 1880, Nikola Tesla moved to Budapest.",
Was Nikola Tesla's mother illiterate?,Nikola Tesla's mother never learned to read.,
How many siblings did Nikola Tesla have?,Nikola Tesla had four siblings.,
Was Nikola Tesla a vegetarian?,In his later years Tesla became a vegetarian.,
Where did Tesla study electrical engineering?,The Austrian Polytechnic in Graz,
When did Tesla receive his last patent?,1928,
What languages did Tesla speak?,"Serbian, Czech, English, French, German, Hungarian, Italian, and Latin",
What music group was named after Tesla?,Tesla,
Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod.",
Does the octopus have two eyes?,"Yes, the octopus has two eyes.",
Does the octopus have a hard beak?,"Yes, the octopus has a hard beak.",
Where is the mouth of an octopus?,The mouth of an octopus is at the center point of the arms.,
Around how many recognized octopus species are there?,There are around 300 recognized octopus species.,
How many arms does an octopus have?,An octopus has four pairs of arms.,
How many arms does an octopus have?,The octopus has four pairs of arms.,
What is the range of lifespans of the octopus?,Octopuses can live from six months to five years.,
What is an example of something an octopus learned in a research experiment?,"In research experiments, octopus can be trained to distinguish between different shapes and patterns.",
How can an octopus defend against predators?,"To defend against predators, an octopus can hide, flee quickly, expel ink, or use color-changing camouflage.",
How can an octopus defend against predators?,"They can hide, flee, expel ink, or use camouflage.",
Do the octopuses in the less familiar Cirrina suborder have two fins and an internal shell?,"Yes, the octopuses in the less familiar Cirrina suborder have two fins and an internal shell.",
Do octopuses have two eyes and four pairs of arms?,"Yes, octopuses have two eyes and four pairs of arms.",
How many species of zebra are there?,three,
What do zebras eat?,mainly grass,
What do zebras eat?,"Grasses, shrubs, herbs, twigs, leaves, and bark",
What are zebras hunted for?,mainly for their skins,
What areas do the Grevy's Zebras inhabit?,semi-arid grasslands of Ethiopia and northern Kenya,
Which species of zebra is known as the common zebra?,"Plains Zebra (Equus quagga, formerly Equus burchelli)",
At what age can a zebra breed?,5 or 6,
What is the battery made by Volta credited to be?,the first cell,
What important electrical unit was named in honor of Volta?,the volt,
What important electrical unit was named in honor of Volta?,volt,
Where did Volta enter retirement?,Spain,
For how many years did Alessandro Volta live?,53,
What was Alessandro Volta`s profession?,physisist,
How old was Alessandro Volta when he died?,82,
"How many years ago was it when Volta married the daughter of Count Ludovico Peregrini , Teresa , with whom he raised three sons?",215,
When did lombardy come under Napoleon`s rule?,From 1796 to 1815,
Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,
His passion been always the study of what?,Electricity,
Where was Avogadro a professor of physics?,University of Turin,
How many children did Avogadro have?,six,
What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,
What is Avogadro's number?,6.02214199x10 23,
In what year did Avogadro stop teaching at Turin University?,1853,
What subject did Avogadro study first?,ecclesiastical law,
What was Amedeo Avogadro`s birthplace?,Turin,
What was Amedeo Avogadro`s profession?,professor of physics,
How many years ago was it when he became a professor of physics at the University of Turin?,189,
What is Amedeo Avogadro`s first name?,Amedeo,
What is Amedeo Avogadro`s last name?,Avogadro,
Loschmidt calculated first the value of what?,Avogadro's number,
What is Amedeo Avogadro?,A person.,
Where is Amedeo Avogadro from?,Italy.,
When did Anders Celcius publish his observations on the aurora borealis?,1733,
What did Anders Celsius determine about the boiling of water?,He determined the dependence of the boiling of water with atmospheric pressure.,
Which temperature scale did Celsius propose?,Celcius,
Which temperature scale did Celsius propose?,the Celsius temperature scale,
What is the boiling point of water dependent on?,atmospheric pressure,
Where was Celsius born?,Uppsala in Sweden,
"Whad did Celsius report in his paper ""Observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude,
How old was Celsius when he died?,42,
What is temperature would water have to be to be halfway between its standard boiling and freezing point?,50,
What is the difference between Celsius' original temperature scale and the one we use today?,The scale was reversed by Carolus Linnaeus.,
What was Anders Celsius`s profession?,professor of astronomy,
How old was Anders Celsius when he died?,42,
What is Anders Celsius`s last name?,Celsius,
He published a collection of what?,observations,
Where do bees live?,in colonies,
When do bumblebee colonies reach peak population?,mid to late summer,
What do people commonly call cleptoparasitic bees?,cuckoo bees,
How did vespoid wasps evolve?,from predatory ancestors,
What do humans use bees for?,honey,
Why do honey bee queens continue to lay eggs during the foraging season?,to replace daily casualties,
Could Blaise Pascal move without crutches?,He could move without crutches until a paralytic attack in 1647.,
From what did Pascal suffer throughout his life?,ill health,
From what did Pascal suffer throughout his life?,poor health,
What did Pascal argue was as perfect as possible?,the procedure used in geometry,
What is the best physician?,Time,
Who was the eldest sibling?,Gilberte,
Of whose continual poor health was the cause never precisely determined?,Blaise Pascal,
Where did Charles-Augustin de Coulomb die?,Charles-Augustin de Coulomb died in Paris.,
When was Charles-Augustin de Coulomb permanently stationed in Paris?,Charles-Augustin de Coulomb was permanently stationed in Paris in 1781.,
What contribution did Charles-Augustin de Coulomb make to the field of geotechnical engineering?,Retaining wall design,
Where did the construction of Fort Bourbon take place?,The construction of Fort Bourbon took place in Martinique.,
What is the definition of the electrostatic force of attraction and repulsion?,Coulomb's law is the definition of the electrostatic force of attraction and repulsion.,
When did Charles-Augustin de Coulomb retire to a small estate he possessed at Blois?,Charles-Augustin de Coulomb retired to a small estate he possessed at Blois on the outbreak of the revolution in 1789.,
"If Charles-Augustin de Coulomb was alive today, how old would he have been?",273,
For how many years did Charles-Augustin de Coulomb live?,70,
How old was Charles-Augustin de Coulomb when he died?,1806,
How many years ago did he resign his appointment as intendant de eaux et fontaine ?,220,
How many years ago did Charles-Augustin de Coulomb die?,203,
When was Charles-Augustin de Coulomb born?,"June 14, 1736",
He discovered an inverse relationship of what?,distance and electric force,
Where is Charles-Augustin de Coulomb from?,France,
How long do most foxes live?,"Most foxes live 2 to 3 years, but they can survive for up to 10 years or even longer in captivity.",
In what country did fox hunting originate?,in the United Kingdom,
What is the smallest species of fox?,The Fennec Fox is the smallest species of fox.,
What are female foxes called?,vixens,
What is caching food?,"Caching is burying it for later consumption, usually under leaves, snow, or soil.",
What areas can giraffes inhabit?,"inhabit savannas, grasslands, or open woodlands",
What will a giraffe use to clean off any bugs that appear on its face?,It's extremely long tongue,
How do giraffes defend themselves?,With powerful kicks,
In what year did Henri Becquerel die?,"August 24, 1908",
Where was Henri Becquerel born?,Paris,
In what year did Henri Becquerel win the Nobel Prize in Physics?,1903,
Did Henri Becquerel intentionally discover radioactivity?,He discovered it accidentally,
"If Henri Becquerel was alive today, how old would he have been?",157,
For how many years did Henri Becquerel live?,56,
What was Henri Becquerel`s profession?,physisist,
How old was Henri Becquerel when he died?,53,
How many years ago was it when he became the third in his family to occupy the physics chair at the Musum National d`Histoire Naturelle?,117,
When was Henri Becquerel born?,"December 15, 1852",
Becquerel wrapped a fluorescent substance in what?,photographic plates and black material,
What is Henri Becquerel?,Henri Becquerel was a famous physicist.,
Where is Henri Becquerel from?,Paris,
What does Henri Becquerel do?,Henri Becquerel was a physicist.,
Did Newton reject the church's doctrine of the Trinity?,Newton may have rejected the church's doctrine of the Trinity.,
Was Newton admitted into Havard College?,"Maybe, but it doesn't say so in the article",
When was Newton's date of birth recorded?,"his date of birth was recorded as Christmas Day, December 25, 1642",
How many laws of motion did Netwon have?,Three,
Who did Newton see as the master creator?,Newton saw God as the master creator whose existence could not be denied in the face of the grandeur of all creation,
When did Netwon investigate the refraction of light,From 1670 to 1672,
What principles did Newton explain for mechanics?,"In mechanics, Newton enunciated the principles of conservation of momentum and angular momentum",
Interaction with what man stirred up Newton's interest in alchemy?,"The contact with the theosophist Henry More, revived his interest in alchemy",
James Watt's improvements of what were fundamental to the changes wrought by the Industrial Revolution?,The steam engine.,
James Watt was born where?,"Greenock, a seaport on the Firth of Clyde",
What was the name of James Watt's mother?,Agnes Muirhead,
How many of James Watt's children did not live to adulthood?,3,
James Watt ranked first among how many people in Charles Murray's survey of historiometry?,229,
In what year did James travel to Lodon to study instrument-making?,1753,
For how many years of James Watt's life was his mother alive?,17 years,
What is James Watt most famous for?,Steam engine.,
Who was a member of the Sandemanian sect of Christianity?,Faraday,
What did Joseph Henry likely discover?,self-induction,
What did the University of Oxford grant Faraday?,Doctor of Civil Law degree (honorary),
Who was made to travel outside the coach?,Faraday,
What do some historians of science refer to Faraday as?,best experimentalist in the history of science,
Who was the sponsor and mentor of Faraday?,John 'Mad Jack' Fuller,
What did Faraday invent that is used almost universally in science laboratories?,the Bunsen burner,
What did Faraday invent that is used almost universally in science laboratories?,Bunsen burner,
What was the Faraday effect first called?,diamagnetism,
What was Michael Faraday`s birthplace?,Newington Butts,
What was Michael Faraday`s profession?,chemist and physicist,
"How many years ago did Faraday report on the first synthesis of compound make from carbon and chlorine , c 2 h 6 and c 2 h 4 ?",189,
"How many years ago was it when he discovered the phenomenon that he named diamagnetism , and what is now called the Faraday effect?",164,
"How many years ago was it when Faraday wrote a letter to The Times on the subject of the foul condition of the River Thames , which resulted in an oft-reprinted cartoon in Punch?",154,
How many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal?,162,
"Who died at his house at Hampton Court on August 25, 1867?",Faraday,
When was Michael Faraday born?,"September 22, 1791",
Where did he serve two terms?,the Church of Scotland,
"Who was born in Newington Butts, near present-day South London, England?",Michael Faraday,
Institution formed the foundation of what?,modern electromagnetic technology,
When did Tesla demonstrate wireless communication (radio)?,1893,
What is the SI unit measuring magnetic flux density or magnetic induction?,the tesla,
What type of current did Tesla invent?,AC,
"Who was the victor of the ""War of Currents""?",Nikola Tesla,
Where did Tesla study electrical engineering?,Austrian Polytechnic in Graz,
What is an otter's den called?,A holt,
Where do sea otters live?,Beside water,
Where do sea otters live?,Pacific coast of North America,
Why are otters vulnerable to prey depletion?,prey-dependency,
What are young swans known as?,Cygnets,
What is the Irish legend of the Children of Lir about?,a stepmother transforming her children into swans for 900 years,
What is the Sanskrit word for swan?,Hamsa or hansa,
"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror,
Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,Swan Lake,
Is the Trumpeter Swan the largest bird?,The Trumpeter Swan is the largest bird of North America,
What is the name of young swans?,Cygnets.,
"Where is the word ""swan"" derived from?","The Old English word ""swan,"" derived from the Indo-European root ""*swen"", meaning to sound or to sing",
What is the best known story about a swan?,The Ugly Duckling fable.,
What is the name of an adult female?,An adult female swan is called a pen.,
What is the color of the Australian Black Swan?,Completely black except for the white flight feathers on its wings.,
What do tigers' powerfully built legs and shoulders allow tigers to do?,They have the ability to pull down prey substantially heavier than themselves.,
What would a tiger do when seized by a crocodile?,A tiger will strike at the reptile's eyes with its paws.,
What are the typical features of a tiger country?,"It will always have good cover, it will always be close to water and plenty of prey.",
About how many square kilometers would be needed to house 3 female tigers?,60 square kilometers,
About how many square kilometers would be needed to house 3 female tigers?,60,
Do scutes fall away from the turtle's shell?,Some of the scutes eventually fall away from the shell.,
How many groups are turtles broken down into?,Two,
Where are the only surviving giant tortoises?,Seychelles and Galápagos Islands,
How do turtles chew food?,Turtles use their jaws to cut and chew food.,
Where are turtle eggs layed?,Turtles lay eggs on land.,
Approximately how many species of Testudines are alive today?,300,
Where is harvesting wild turtles legal?,Florida,
What was the largest ever chelonian?,The great letherback sea tutrtle,
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,
When did he publish another memoria?,1821,
When did he become a professor?,1820,
What happened in 1833?,Avogadro had been recalled to Turin university,
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,
What is named after him?,The Celsius crater on the Moon,
When did he publish a collection?,1733,
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,
The Celsius crater on the Moon is what?,named after him,
Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had,
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did,
What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University,
What happened in 1745?,The scale was reversed,
What are the three sections of a beetle?,"the head, the thorax, and the abdomen",
Which defense mechanism uses colour or shape to deceive potential enemies?,Mimicry,
Which type of beetle is a pest of potato plants?,Colorado potato beetle,
How can beetle larvae be differentiated from other insect larvae?,"By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",
What do beetles eat?,"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates",
What are the similarities between beetles and grasshoppers?,Beetles have mouthparts similar to those of grasshoppers,
How many species of beetles are there?,"about 350,000",
When are sperm cells transferred to the female?,During pairing,
What is the study of beetles called?,coleopterology,
What are prey of various animals including birds and mammals?,Beetles.,
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",
Who or what vary greatly in form within the coleoptera?,Antennae.,
Oxygen is what?,One kind of gas obtained via a tracheal system.,
What happened on plants and fungi?,They are food to beetles.,
Are ducks in the Arctic Northern Hemisphere migratory?,Some are,
What is the name of a specialized species of duck adapted to catch large fish?,the smew,
What animal attracts the most humor and silliness?,The duck,
What is an economic use of a duck?,Meat,
What is an economic use of a duck?,being farmed for their meat,
Who is Daffy Duck?,a silly cartoon character,
What makes it more difficult for a diving duck to fly?,They are heavier,
What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",
Do ducks forage underwater?,Diving ducks and sea ducks forage underwater,
What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",
What kind of ducks feed on land?,Dabbling ducks feed on land,
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",
What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,
What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.",
How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",
Why are ducklings particularly vulnerable?,Their inability to fly.,
What are some economic uses for duck?,"Meat,eggs,feathers",
What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,
